rank,tribunal,cnj,score,classe_codigo,classe_nome,total_movs,link_voyager_local
1,TJSP,0008292-04.2019.8.26.0100,0.9078,156,Cumprimento de sentença,736,http://localhost/dashboard/processos/29829/
2,TJSP,0005495-84.2021.8.26.0100,0.8838,156,Cumprimento de sentença,370,http://localhost/dashboard/processos/24901/
3,TJSP,0000273-38.2021.8.26.0100,0.8739,156,Cumprimento de sentença,248,http://localhost/dashboard/processos/29880/
4,TJMG,5001171-28.2023.8.13.0012,0.8625,12078,Cumprimento de Sentença contra a Fazenda Pública,238,http://localhost/dashboard/processos/46915/
5,TJMG,5004627-95.2023.8.13.0687,0.8514,156,Cumprimento de sentença,223,http://localhost/dashboard/processos/68754/
6,TJSP,0005231-04.2025.8.26.0011,0.8410,156,Cumprimento de sentença,89,http://localhost/dashboard/processos/25395/
7,TJMG,5016450-69.2024.8.13.0707,0.8400,12078,Cumprimento de Sentença contra a Fazenda Pública,160,http://localhost/dashboard/processos/59714/
8,TJMG,5001327-77.2022.8.13.0003,0.8392,12078,Cumprimento de Sentença contra a Fazenda Pública,203,http://localhost/dashboard/processos/43440/
9,TJMG,5009284-28.2024.8.13.0693,0.8331,12078,Cumprimento de Sentença contra a Fazenda Pública,153,http://localhost/dashboard/processos/48707/
10,TJMG,5012555-37.2023.8.13.0707,0.8329,12078,Cumprimento de Sentença contra a Fazenda Pública,154,http://localhost/dashboard/processos/58091/
11,TJMG,5002377-05.2018.8.13.0707,0.8280,12078,Cumprimento de Sentença contra a Fazenda Pública,304,http://localhost/dashboard/processos/11873/
12,TJMG,5000413-63.2022.8.13.0342,0.8274,12078,Cumprimento de Sentença contra a Fazenda Pública,197,http://localhost/dashboard/processos/67579/
13,TJMG,5012459-68.2023.8.13.0433,0.8269,12078,Cumprimento de Sentença contra a Fazenda Pública,137,http://localhost/dashboard/processos/49225/
14,TJMG,5033425-81.2024.8.13.0024,0.8241,12078,Cumprimento de Sentença contra a Fazenda Pública,130,http://localhost/dashboard/processos/17475/
15,TJMG,5013721-14.2024.8.13.0079,0.8235,12078,Cumprimento de Sentença contra a Fazenda Pública,120,http://localhost/dashboard/processos/45852/
16,TJMG,5004678-69.2024.8.13.0106,0.8235,12078,Cumprimento de Sentença contra a Fazenda Pública,103,http://localhost/dashboard/processos/17706/
17,TJMG,5167725-77.2024.8.13.0024,0.8232,12078,Cumprimento de Sentença contra a Fazenda Pública,116,http://localhost/dashboard/processos/43134/
18,TJMG,5000454-30.2022.8.13.0342,0.8218,12078,Cumprimento de Sentença contra a Fazenda Pública,171,http://localhost/dashboard/processos/58997/
19,TJMG,5001610-75.2023.8.13.0194,0.8214,12078,Cumprimento de Sentença contra a Fazenda Pública,154,http://localhost/dashboard/processos/46836/
20,TJMG,5008625-31.2020.8.13.0702,0.8210,12078,Cumprimento de Sentença contra a Fazenda Pública,197,http://localhost/dashboard/processos/68834/
21,TJMG,5011558-22.2024.8.13.0480,0.8207,12078,Cumprimento de Sentença contra a Fazenda Pública,114,http://localhost/dashboard/processos/7975/
22,TJMG,5235985-80.2022.8.13.0024,0.8194,12078,Cumprimento de Sentença contra a Fazenda Pública,122,http://localhost/dashboard/processos/14592/
23,TJMG,5000784-88.2024.8.13.0687,0.8191,156,Cumprimento de sentença,121,http://localhost/dashboard/processos/4012/
24,TJMG,5000890-72.2023.8.13.0012,0.8187,156,Cumprimento de sentença,117,http://localhost/dashboard/processos/45112/
25,TJMG,5000367-52.2023.8.13.0338,0.8178,12078,Cumprimento de Sentença contra a Fazenda Pública,117,http://localhost/dashboard/processos/5125/
26,TJMG,5288177-19.2024.8.13.0024,0.8165,12078,Cumprimento de Sentença contra a Fazenda Pública,124,http://localhost/dashboard/processos/68377/
27,TJMG,5000654-91.2022.8.13.0324,0.8161,12078,Cumprimento de Sentença contra a Fazenda Pública,149,http://localhost/dashboard/processos/12359/
28,TJSP,0118988-96.2008.8.26.0002,0.8118,156,Cumprimento de sentença,750,http://localhost/dashboard/processos/22282/
29,TJMG,5177974-58.2022.8.13.0024,0.8117,12078,Cumprimento de Sentença contra a Fazenda Pública,107,http://localhost/dashboard/processos/9909/
30,TJMG,5007064-77.2023.8.13.0342,0.8098,12078,Cumprimento de Sentença contra a Fazenda Pública,140,http://localhost/dashboard/processos/43069/
